title;year;duration;genre;rating;votes
Cobra Kai;(2018– );30 min;Action, Comedy, Drama;85;177031
The Crown;(2016– );58 min;Biography, Drama, History;87;199885
Better Call Saul;(2015–2022);46 min;Crime, Drama;89;501384
Devil in Ohio;(2022);356 min;Drama, Horror, Mystery;59;9773
Cyberpunk: Edgerunners;(2022– );24 min;Animation, Action, Adventure;86;15413
The Sandman;(2022– );45 min;Drama, Fantasy, Horror;78;116358
Rick and Morty;(2013– );23 min;Animation, Adventure, Comedy;92;502160
Breaking Bad;(2008–2013);49 min;Crime, Drama, Thriller;95;1831340
The Imperfects;(2022– );45 min;Action, Adventure, Drama;63;3123
Blonde;(2022);166 min;Biography, Drama, Mystery;62;935
Stranger Things;(2016– );51 min;Drama, Fantasy, Horror;87;1149889
End of the Road;(II) (2022);89 min;Action, Crime, Drama;47;5122
The Walking Dead;(2010–2022);44 min;Drama, Horror, Thriller;81;970060
Glass Onion: A Knives Out Mystery;(2022);139 min;Crime, Drama, Mystery;81;547
Do Revenge;(2022);118 min;Comedy;64;13457
I Came By;(2022);110 min;Thriller;61;16230
No Limit;(2022);118 min;Drama, Romance, Sport;58;1695
1899;(2022– );60 min;Drama, History, Horror;96;853
Peaky Blinders;(2013–2022);60 min;Crime, Drama;88;531058
Fate: The Winx Saga;(2021– );;Action, Adventure, Drama;69;43179
The Lord of the Rings: The Fellowship of the Ring;(2001);178 min;Action, Adventure, Drama;88;1844055
Grey's Anatomy;(2005– );41 min;Drama, Romance;76;303617
Supernatural;(2005–2020);44 min;Drama, Fantasy, Horror;84;439597
American Horror Story;(2011– );60 min;Drama, Horror, Sci-Fi;80;312970
The Accidental Narco;(2022– );50 min;Action, Biography, Crime;74;2056
NCIS;(2003– );60 min;Action, Crime, Drama;78;145895
Friends;(1994–2004);22 min;Comedy, Romance;89;979424
Shameless;(2011–2021);46 min;Comedy, Drama;86;239541
Modern Family;(2009–2020);22 min;Comedy, Drama, Romance;85;423963
Ozark;(2017–2022);60 min;Crime, Drama, Thriller;85;309552
Echoes;(2022);326 min;Drama, Mystery, Thriller;59;9380
The Gray Man;(2022);122 min;Action, Thriller;65;172136
Me Time;(2022);101 min;Comedy;50;26092
Suits;(2011–2019);44 min;Comedy, Drama;85;405863
Vikings;(2013–2020);44 min;Action, Adventure, Drama;85;524630
The Witcher;(2019– );60 min;Action, Adventure, Drama;82;481837
The Blacklist;(2013– );43 min;Crime, Drama, Mystery;80;245591
Seinfeld;(1989–1998);22 min;Comedy;89;314089
Lucifer;(2016–2021);42 min;Crime, Drama, Fantasy;81;318928
The Umbrella Academy;(2019–2023);60 min;Action, Adventure, Comedy;79;243344
The Last Kingdom;(2015–2022);60 min;Action, Drama, History;85;136936
Partner Track;(2022– );60 min;Drama;68;3840
Love in the Villa;(2022);114 min;Comedy, Romance;53;7048
Black Mirror;(2011–2019);60 min;Drama, Mystery, Sci-Fi;88;535782
Brooklyn Nine-Nine;(2013–2021);22 min;Comedy, Crime;84;309004
Squid Game;(2021– );55 min;Action, Drama, Mystery;80;435160
Gilmore Girls;(2000–2007);44 min;Comedy, Drama;82;124087
Outlander;(2014– );60 min;Drama, Fantasy, Romance;84;158268
Ófærð;(2015– );60 min;Crime, Drama, Mystery;80;21641
Never Have I Ever;(2020–2023);30 min;Comedy, Drama;79;56216
Attack on Titan;(2013–2023);24 min;Animation, Action, Adventure;90;363297
Manifest;(2018– );43 min;Drama, Mystery, Sci-Fi;71;59167
Locke & Key;(2020–2022);48 min;Drama, Fantasy, Horror;73;84847
Day Shift;(2022);113 min;Action, Comedy, Fantasy;61;62931
Dark;(2017–2020);60 min;Crime, Drama, Mystery;87;371981
Guillermo del Toro's Pinocchio;(II) (2022);114 min;Animation, Drama, Family;;
Sex Education;(2019– );45 min;Comedy, Drama;84;273671
The Lord of the Rings: The Return of the King;(2003);201 min;Action, Adventure, Drama;90;1819157
The Vampire Diaries;(2009–2017);43 min;Drama, Fantasy, Horror;77;318383
Virgin River;(2019– );44 min;Drama, Romance;74;41276
Family Guy;(1999– );22 min;Animation, Comedy;82;334757
Fargo;(2014– );53 min;Crime, Drama, Thriller;89;369918
Animal Kingdom;(2016–2022);60 min;Crime, Drama;82;37944
Diario de un Gigoló;(2022);50 min;Drama;63;538
How I Met Your Mother;(2005–2014);22 min;Comedy, Romance;83;676121
The School for Good and Evil;(2022);147 min;Action, Drama, Fantasy;;
Heartbreak High;(2022– );50 min;Drama, Romance;76;1502
Wednesday;(2022– );;Comedy, Family, Fantasy;;
Community;(2009–2015);22 min;Comedy;85;261138
Daredevil;(2015–2018);54 min;Action, Crime, Drama;86;434141
Blue Bloods;(2010– );43 min;Crime, Drama, Mystery;77;40037
Bee and PuppyCat;(2013– );7 min;Animation, Short, Action;82;2385
Loving Adults;(2022);104 min;Crime, Drama, Thriller;65;5861
Schitt's Creek;(2015–2020);22 min;Comedy;85;118638
Sing 2;(2021);110 min;Animation, Adventure, Comedy;74;65399
RRR;(2022);187 min;Action, Drama;80;107203
Arcane;(2021– );41 min;Animation, Action, Adventure;90;196697
The Lørenskog Disappearance;(2021);;Documentary, Crime;61;668
The Lord of the Rings: The Two Towers;(2002);179 min;Action, Adventure, Drama;88;1642708
All Quiet on the Western Front;(2022);147 min;Action, Drama, War;83;199
Mr. Harrigan's Phone;(2022);104 min;Horror;;
